learning_rate,hidden_size,reg_lambda,batch_size,activation,best_val_acc,final_train_loss
0.0001,256,0.001,128,tanh,0.206,2.721284878923408
0.01,64,0.001,64,relu,0.42,1.631015664007151
0.001,256,0.0001,32,sigmoid,0.248,2.2918435034493263
0.001,128,0.0001,128,sigmoid,0.138,2.3167913990856035
0.0001,256,0.0001,32,relu,0.271,2.1140123082549827
0.01,64,0.01,128,relu,0.383,2.8481992842987833
0.001,64,0.0001,32,tanh,0.3705,1.7785879665140232
0.001,64,0.001,32,tanh,0.363,1.8992486934339992
0.01,128,0.0001,128,relu,0.4075,1.595017118881394
0.0001,128,0.0001,128,tanh,0.1825,2.254249786912841
0.001,256,0.01,64,sigmoid,0.2105,7.232402032247404
0.001,512,0.0001,64,tanh,0.368,1.8885583326934217
0.001,512,0.01,32,relu,0.381,11.160287695910823
0.0001,512,0.0001,32,relu,0.25,2.128936497639714
0.0001,64,0.01,128,sigmoid,0.0965,3.8811345549721645
0.01,512,0.0001,64,relu,0.4505,1.4377893345060717
0.01,128,0.01,64,relu,0.4245,3.263331422624943
0.0001,256,0.001,128,relu,0.186,2.731990278187136
0.01,512,0.01,128,sigmoid,0.27,10.3969992860955
0.0001,128,0.01,64,tanh,0.2315,4.755604382432516
0.001,512,0.0001,128,relu,0.325,2.0027002453847658
0.01,512,0.0001,128,tanh,0.4185,1.649186918637842
0.0001,256,0.001,64,tanh,0.248,2.63209004117227
0.0001,64,0.0001,32,relu,0.231,2.13534731553449
0.0001,256,0.0001,128,sigmoid,0.1065,2.383964403732562
0.0001,64,0.001,128,tanh,0.2,2.315152562095703
0.01,128,0.01,32,tanh,0.429,2.663081488454426
0.001,128,0.0001,64,relu,0.3415,1.8569056361575305
0.01,256,0.0001,64,relu,0.4315,1.4426230104551188
0.0001,512,0.01,128,tanh,0.1915,12.507921784843031
0.0001,128,0.001,64,relu,0.215,2.437911081557565
0.001,128,0.01,64,tanh,0.352,4.348140874658363
0.0001,256,0.0001,128,relu,0.2035,2.253606488410182
0.01,512,0.001,64,relu,0.4365,2.342982727125327
